
Host: sophon

Timers On : Sun Nov 25 20:47:48 2018
Timers Off: Sun Nov 25 20:49:16 2018

Wall Time:       88.21 seconds

JK: (A|mn)                  :      5.400u      0.000s      3.241w      1 calls
JK: (A|Q)^-1/2              :      1.367u      0.017s      0.832w      1 calls
JK: (Q|mn)                  :      2.250u      0.000s      1.357w      1 calls
HF: Form H                  :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.006w      1 calls
HF: Guess                   :      0.167u      0.000s      0.098w      1 calls
SAD Guess                   :      0.167u      0.000s      0.096w      1 calls
HF: Form G                  :     13.733u      0.567s      8.589w     11 calls
JK: D                       :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :     13.717u      0.567s      8.586w     11 calls
JK: J                       :      0.550u      0.000s      0.363w     11 calls
JK: J1                      :      0.250u      0.000s      0.174w     11 calls
JK: J2                      :      0.300u      0.000s      0.187w     11 calls
JK: K                       :     13.017u      0.017s      7.804w     11 calls
JK: K1                      :     10.817u      0.017s      6.467w     11 calls
JK: K2                      :      2.200u      0.000s      1.337w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.033u      0.000s      0.034w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.004w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.010w      9 calls
bMatrix setup               :      0.000u      0.000s      0.005w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.005w      9 calls
HF: Form C                  :      0.117u      0.017s      0.062w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      5.400u      0.000s      3.241w      1 calls
JK: (A|Q)^-1/2              :      1.367u      0.017s      0.832w      1 calls
JK: (Q|mn)                  :      2.250u      0.000s      1.357w      1 calls
HF: Form H                  :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.006w      1 calls
HF: Guess                   :      0.167u      0.000s      0.098w      1 calls
| SAD Guess                 :      0.167u      0.000s      0.096w      1 calls
HF: Form G                  :     13.733u      0.567s      8.589w     11 calls
| JK: D                     :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :     13.717u      0.567s      8.586w     11 calls
| | JK: J                   :      0.550u      0.000s      0.363w     11 calls
| | | JK: J1                :      0.250u      0.000s      0.174w     11 calls
| | | JK: J2                :      0.300u      0.000s      0.187w     11 calls
| | JK: K                   :     13.017u      0.017s      7.804w     11 calls
| | | JK: K1                :     10.817u      0.017s      6.467w     11 calls
| | | JK: K2                :      2.200u      0.000s      1.337w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.033u      0.000s      0.034w     11 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.004w     10 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.010w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.005w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.005w      9 calls
HF: Form C                  :      0.117u      0.017s      0.062w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

***********************************************************
